Firma;Website;Gesamtbewertung;Punkte;Einstufung;Ausschlussgrund;Kurzbegründung;Datenqualität;Ort;Land;Produktkategorien;Mitarbeiter;Umsatz (Mio. EUR);Konzernmutter;Quelle;Beleg;LinkedIn Firmenprofil URL;F1 Branche;F1 Begründung;F2 Region;F2 Begründung;F3 Mitarbeiterzahl;F3 Begründung;F4 Jahresumsatz;F4 Begründung;B1 Präzisionsanspruch in Druckwerk und Bogenführung;B1 Begründung;B2 Druckwerke, Bogeneinzug und Bahnführung als Kernbaugruppen;B2 Begründung;B3 Einsatz von Linear- und Antriebstechnik;B3 Begründung;B4 Ersatzteil- und Servicegeschäft;B4 Begründung;B5 Hohe Taktzahlen und Serienmaschinenbau;B5 Begründung;B6 Eigene Entwicklung und Konstruktion von Neumaschinen;B6 Begründung;B7 Strukturierter Einkauf und Lieferantenmanagement;B7 Begründung;B8 Qualitätssicherung und dokumentierte Prüfung;B8 Begründung
BHS Corrugated Maschinen- und Anlagenbau GmbH;https://www.bhs-world.com/;B;70;Guter Fit;kein Ausschlusskriterium;5 von 12 Kriterien mit A, 0 mit D. Randbereich der Zielbranche laut Recherche: Wellpappenanlagen, Einzelmaschinen, Inline-Digitaldruckloesungen. Auf der Website 183 Fundstellen zu Kernbegriffen: Wellpappe (135), Digitaldruck (44), Inkjet (4).;Hoch, recherchiert und Website geprüft, 100 Prozent der Kriterien belegt;92729 Weiherhammer;Deutschland;Wellpappenanlagen, Einzelmaschinen, Inline-Digitaldruckloesungen;3.100 (Recherche);870 (Recherche);Familienbesitz (Engel);Startliste;"Wikipedia/Website: Hersteller von Wellpappenanlagen (Corrugator); Website nennt ueber 3.100 Mitarbeitende und 9 Produktionsstandorte.";https://de.linkedin.com/company/bhs-world;B;Randbereich der Zielbranche laut Recherche: Wellpappenanlagen, Einzelmaschinen, Inline-Digitaldruckloesungen. Auf der Website 183 Fundstellen zu Kernbegriffen: Wellpappe (135), Digitaldruck (44), Inkjet (4).;B;Sitz 92729 Weiherhammer, Deutschland, im Land der Zielregion (Heidelberg), aber nicht in der Region selbst.;A;3.100 Mitarbeiter (Recherche, Gruppe: https://www.bhs-world.com/unternehmen/daten-fakten (2026: mehr als 3.100 MitarbeiterInnen weltweit)), im ICP-Band 1.001 bis 10.000.;B;870 Mio. EUR (Recherche: https://de.wikipedia.org/wiki/BHS_Corrugated (GJ 2023)), knapp unter dem ICP-Band rund 2 Mrd. EUR.;C;Schwacher Beleg, nur präzise (2) auf 10 Seiten.;C;Schwacher Beleg, nur Register (1) auf 10 Seiten.;C;Keiner der Begriffe auf 10 gecrawlten Seiten gefunden. Bauteil- oder Fachvokabular steht selten auf Firmenwebsites, daher kein Abzug bis D.;A;4 Begriffe mit 72 Fundstellen auf 10 Seiten: Ersatzteil (50), Wartung (20), Lebensdauer (1), Verfügbarkeit (1).;C;Schwacher Beleg, nur Produktionsgeschwindigkeit (3) auf 10 Seiten.;A;5 Begriffe mit 59 Fundstellen auf 10 Seiten: Innovation (30), R&D (19), Entwicklung (6), Forschung und Entwicklung (3).;A;1 Begriffe mit 18 Fundstellen auf 10 Seiten: Supply Chain (18).;A;3 Begriffe mit 26 Fundstellen auf 10 Seiten: Qualitätsmanagement (19), zertifiziert (4), ISO 9001 (3).
BW Papersystems Hamburg GmbH;https://www.bwpapersystems.com/;C;69;Bedingter Fit;kein Ausschlusskriterium;3 von 12 Kriterien mit A, 1 mit D, 2 ohne Datenbasis. Randbereich der Zielbranche laut Recherche: Querschneider und Bogenschneidanlagen fuer Papier und Karton.;Mittel, nur Website, 73 Prozent der Kriterien belegt;22880 Wedel;Deutschland;Querschneider und Bogenschneidanlagen fuer Papier und Karton;k. A.;k. A.;Barry-Wehmiller (USA);deutsche-exportdatenbank Flexodruckmaschinen (Listung);"BW Papersystems buendelt u. a. die Marken Kugler-Womako und Jagenberg-Querschneider; Standort Wedel als deutsches Werk.";https://www.linkedin.com/company/bw-papersystems;B;Randbereich der Zielbranche laut Recherche: Querschneider und Bogenschneidanlagen fuer Papier und Karton.;B;Sitz 22880 Wedel, Deutschland, im Land der Zielregion (Heidelberg), aber nicht in der Region selbst.;N;Keine belegte Mitarbeiterzahl (weder Recherche noch Website).;N;Kein Umsatz veröffentlicht und keine Mitarbeiterzahl zum Ableiten.;A;2 Begriffe mit 14 Fundstellen auf 9 Seiten: precision (7), accuracy (7).;C;Schwacher Beleg, nur Register (1) auf 9 Seiten.;B;2 Begriffe mit 4 Fundstellen: servo drive (2), drive technology (2).;A;4 Begriffe mit 104 Fundstellen auf 9 Seiten: spare part (82), maintenance (19), uptime (2), Retrofit (1).;B;2 Begriffe mit 8 Fundstellen: high-speed (7), m/min (1).;B;2 Begriffe mit 7 Fundstellen: engineering (4), Innovation (3).;A;2 Begriffe mit 6 Fundstellen auf 9 Seiten: Supplier (5), Purchasing (1).;D;Keiner der Begriffe auf 9 gecrawlten Seiten gefunden.
Müller Martini Buchbindesysteme GmbH;https://mullermartini.com/;C;69;Bedingter Fit;kein Ausschlusskriterium;4 von 12 Kriterien mit A, 1 mit D, 2 ohne Datenbasis. Randbereich der Zielbranche laut Recherche: Buchbindesysteme (uebernommene Kolbus-Buchbindesparte). Auf der Website 17 Fundstellen zu Kernbegriffen: Digitaldruck (17).;Mittel, nur Website, 73 Prozent der Kriterien belegt;32369 Rahden;Deutschland;Buchbindesysteme (uebernommene Kolbus-Buchbindesparte);k. A.;k. A.;Müller Martini Holding AG;Wikipedia Mueller Martini / Kolbus;"Wikipedia Kolbus/Mueller Martini: Buchbindesparte von Kolbus 2018 an Mueller Martini verkauft; deutsche Tochter Mueller Martini Buchbindesysteme GmbH in Rahden.";https://ch.linkedin.com/company/muller-martini-group;B;Randbereich der Zielbranche laut Recherche: Buchbindesysteme (uebernommene Kolbus-Buchbindesparte). Auf der Website 17 Fundstellen zu Kernbegriffen: Digitaldruck (17).;B;Sitz 32369 Rahden, Deutschland, im Land der Zielregion (Heidelberg), aber nicht in der Region selbst.;N;Mitarbeiterzahl unklar, widersprüchliche Angaben auf der Website (140, 1301).;N;Kein Umsatz veröffentlicht und keine Mitarbeiterzahl zum Ableiten.;A;3 Begriffe mit 7 Fundstellen auf 9 Seiten: präzise (3), Präzision (2), Genauigkeit (2).;B;2 Begriffe mit 4 Fundstellen: printing unit (3), Bogen (1).;C;Keiner der Begriffe auf 9 gecrawlten Seiten gefunden. Bauteil- oder Fachvokabular steht selten auf Firmenwebsites, daher kein Abzug bis D.;B;2 Begriffe mit 8 Fundstellen: Ersatzteil (4), Verfügbarkeit (4).;D;Keiner der Begriffe auf 9 gecrawlten Seiten gefunden.;A;5 Begriffe mit 33 Fundstellen auf 9 Seiten: Innovation (27), Entwicklung (3), Konstruktion (1), Konstrukteur (1).;A;6 Begriffe mit 69 Fundstellen auf 9 Seiten: Lieferant (45), Verhaltenskodex (11), Einkauf (6), Lieferantenmanagement (3).;A;3 Begriffe mit 3 Fundstellen auf 9 Seiten: Prüfprotokoll (1), Zertifizierung (1), Dokumentation (1).
Erhardt+Leimer GmbH;https://www.erhardt-leimer.com/;C;66;Bedingter Fit;kein Ausschlusskriterium;3 von 12 Kriterien mit A, 1 mit D, 2 ohne Datenbasis. Randbereich der Zielbranche laut Recherche: Bahnlauf- und Bahnspannungsregelung, Inspektionssysteme. Auf der Website 36 Fundstellen zu Kernbegriffen: Wellpappe (10), Druckmaschine (9), printing machine (9), Digitaldruck (2).;Hoch, recherchiert, 88 Prozent der Kriterien belegt;86391 Stadtbergen;Deutschland;Bahnlauf- und Bahnspannungsregelung, Inspektionssysteme;1.600 (Recherche);320 (abgeleitet);Familienbesitz (Proeller);Startliste;"Website: With more than 1,600 employees at sites across Europe, Asia, and America; Web guiding und web tension control fuer Druck und Verpackung.";https://linkedin.com/company/erhardt-leimer-gmbh;B;Randbereich der Zielbranche laut Recherche: Bahnlauf- und Bahnspannungsregelung, Inspektionssysteme. Auf der Website 36 Fundstellen zu Kernbegriffen: Wellpappe (10), Druckmaschine (9), printing machine (9), Digitaldruck (2).;B;Sitz 86391 Stadtbergen, Deutschland, im Land der Zielregion (Heidelberg), aber nicht in der Region selbst.;A;1.600 Mitarbeiter (Recherche, Gruppe: https://www.erhardt-leimer.com/ (2026: more than 1,600 employees)), im ICP-Band 1.001 bis 10.000.;D;320 Mio. EUR (aus 1.600 Mitarbeitern abgeleitet (0,2 Mio. EUR je Kopf, Maschinenbau)), deutlich unter dem ICP-Band rund 2 Mrd. EUR.;N;Kein Treffer, aber nur 2 Seite(n) abrufbar. Nicht belegbar.;A;4 Begriffe mit 23 Fundstellen auf 2 Seiten: web guid (12), Bahnlauf (6), Register (4), Rotation (1).;B;2 Begriffe mit 6 Fundstellen: drive technology (4), Antriebstechnik (2).;C;Schwacher Beleg, nur Ersatzteil (1) auf 2 Seiten.;N;Kein Treffer, aber nur 2 Seite(n) abrufbar. Nicht belegbar.;C;Schwacher Beleg, nur Innovation (4) auf 2 Seiten.;B;1 Begriffe mit 2 Fundstellen: Supplier (2).;A;2 Begriffe mit 4 Fundstellen auf 2 Seiten: Messtechnik (2), certified (2).
Canon Production Printing Germany GmbH & Co. KG;https://cpp.canon/;C;65;Bedingter Fit;kein Ausschlusskriterium;5 von 12 Kriterien mit A, 4 mit D. Kernprodukt laut Recherche: Digitaldrucksysteme: Rollen-Inkjet (ColorStream, ProStream), Bogen- und Grossformatdruck. Auf der Website 1 Fundstellen zu Kernbegriffen: Inkjet (1).;Hoch, recherchiert und Website geprüft, 100 Prozent der Kriterien belegt;85586 Poing;Deutschland;Digitaldrucksysteme: Rollen-Inkjet (ColorStream, ProStream), Bogen- und Grossformatdruck;3.000 (Recherche);1.200 (Recherche);Canon Inc. (Japan);Startliste (Canon Poing);"Wikipedia: vormals Oce Printing Systems GmbH in Poing; Hersteller von Hochleistungs-Digitaldrucksystemen (ColorStream, JetStream, varioPRINT).";https://www.linkedin.com/company/canon-production-printing;A;Kernprodukt laut Recherche: Digitaldrucksysteme: Rollen-Inkjet (ColorStream, ProStream), Bogen- und Grossformatdruck. Auf der Website 1 Fundstellen zu Kernbegriffen: Inkjet (1).;B;Sitz 85586 Poing, Deutschland, im Land der Zielregion (Heidelberg), aber nicht in der Region selbst.;A;3.000 Mitarbeiter (Recherche, Gesellschaft: https://de.wikipedia.org/wiki/Canon_Production_Printing (Stand 2021)), im ICP-Band 1.001 bis 10.000.;A;1,2 Mrd. EUR (Recherche: https://de.wikipedia.org/wiki/Canon_Production_Printing (GJ 2021)), im ICP-Band rund 2 Mrd. EUR.;D;Keiner der Begriffe auf 8 gecrawlten Seiten gefunden.;C;Schwacher Beleg, nur printing unit (2) auf 8 Seiten.;C;Keiner der Begriffe auf 8 gecrawlten Seiten gefunden. Bauteil- oder Fachvokabular steht selten auf Firmenwebsites, daher kein Abzug bis D.;D;Keiner der Begriffe auf 8 gecrawlten Seiten gefunden.;D;Keiner der Begriffe auf 8 gecrawlten Seiten gefunden.;A;3 Begriffe mit 13 Fundstellen auf 8 Seiten: Innovation (5), Patent (4), R&D (4).;A;3 Begriffe mit 49 Fundstellen auf 8 Seiten: Supplier (22), Code of Conduct (18), Supply Chain (9).;D;Keiner der Begriffe auf 8 gecrawlten Seiten gefunden.
Durst Austria GmbH;https://www.durst-group.com/;C;65;Bedingter Fit;kein Ausschlusskriterium;6 von 12 Kriterien mit A, 1 mit D. Kernprodukt laut Recherche: Produktion industrieller Inkjet-Grossformatdrucker (Rho-Serie). Auf der Website 56 Fundstellen zu Kernbegriffen: printing system (48), Drucksystem (4), Digitaldruck (2), Druckmaschine (1).;Hoch, recherchiert und Website geprüft, 100 Prozent der Kriterien belegt;9900 Lienz;Österreich;Produktion industrieller Inkjet-Grossformatdrucker (Rho-Serie);1.100 (Recherche);220 (abgeleitet);Durst Group AG, Brixen (Italien);"Wikipedia Kategorie Druckmaschinenhersteller (Durst Group); Startliste";Wikipedia Durst Group: 1999 zweite Produktionsstaette in Lienz/Osttirol errichtet, dort Fertigung der Rho-Flachbettdrucker.;https://www.linkedin.com/company/durst-phototechnik-ag;A;Kernprodukt laut Recherche: Produktion industrieller Inkjet-Grossformatdrucker (Rho-Serie). Auf der Website 56 Fundstellen zu Kernbegriffen: printing system (48), Drucksystem (4), Digitaldruck (2), Druckmaschine (1).;C;Sitz 9900 Lienz, Österreich, im deutschsprachigen Raum, Zielregion ist Heidelberg.;A;1.100 Mitarbeiter (Recherche, Gruppe: https://www.durst-group.com/de/unternehmen (2026: ueber 1.100 Mitarbeitende in der Durst Group)), im ICP-Band 1.001 bis 10.000.;D;220 Mio. EUR (aus 1.100 Mitarbeitern abgeleitet (0,2 Mio. EUR je Kopf, Maschinenbau)), deutlich unter dem ICP-Band rund 2 Mrd. EUR.;A;3 Begriffe mit 4 Fundstellen auf 6 Seiten: Präzision (2), präzise (1), µm (1).;C;Schwacher Beleg, nur Register (1) auf 6 Seiten.;C;Keiner der Begriffe auf 6 gecrawlten Seiten gefunden. Bauteil- oder Fachvokabular steht selten auf Firmenwebsites, daher kein Abzug bis D.;C;Schwacher Beleg, nur service part (2) auf 6 Seiten.;C;Schwacher Beleg, nur m/min (3) auf 6 Seiten.;A;5 Begriffe mit 21 Fundstellen auf 6 Seiten: Innovation (12), Entwicklung (4), Patent (3), Forschung und Entwicklung (1).;A;4 Begriffe mit 17 Fundstellen auf 6 Seiten: Supplier (7), Lieferant (6), Einkauf (2), Verhaltenskodex (2).;A;3 Begriffe mit 8 Fundstellen auf 6 Seiten: certified (6), Qualitätssicherung (1), Dokumentation (1).
zirkon Druckmaschinen GmbH;https://www.zirkon-print.de/;C;65;Bedingter Fit;kein Ausschlusskriterium;2 von 12 Kriterien mit A, 0 mit D, 7 ohne Datenbasis. Kernprodukt laut Recherche: Rollenoffsetdruckmaschinen, heute Service und Retrofit. Auf der Website 11 Fundstellen zu Kernbegriffen: Druckmaschine (10), Rollenoffset (1).;Niedrig, nur wenige Seiten, 42 Prozent der Kriterien belegt;04328 Leipzig;Deutschland;Rollenoffsetdruckmaschinen, heute Service und Retrofit;k. A.;k. A.;;"Wikipedia Druckmaschinenwerke Leipzig; wer-zu-wem Maschinenbauer; industrystock Rollenoffset";Wikipedia-Infobox Druckmaschinenwerke Leipzig: heutiger Name zirkon Druckmaschinen GmbH, Sitz Leipzig, Branche Druckmaschinenhersteller, Homepage zirkon-print.de.;nicht auf der Website verlinkt;A;Kernprodukt laut Recherche: Rollenoffsetdruckmaschinen, heute Service und Retrofit. Auf der Website 11 Fundstellen zu Kernbegriffen: Druckmaschine (10), Rollenoffset (1).;B;Sitz 04328 Leipzig, Deutschland, im Land der Zielregion (Heidelberg), aber nicht in der Region selbst.;N;Keine belegte Mitarbeiterzahl (weder Recherche noch Website).;N;Kein Umsatz veröffentlicht und keine Mitarbeiterzahl zum Ableiten.;C;Schwacher Beleg, nur präzise (1) auf 1 Seiten.;N;Kein Treffer, aber nur 1 Seite(n) abrufbar. Nicht belegbar.;N;Kein Treffer, aber nur 1 Seite(n) abrufbar. Nicht belegbar.;A;4 Begriffe mit 9 Fundstellen auf 1 Seiten: Wartung (3), Retrofit (3), Ersatzteil (2), Lebensdauer (1).;N;Kein Treffer, aber nur 1 Seite(n) abrufbar. Nicht belegbar.;C;Schwacher Beleg, nur Innovation (2) auf 1 Seiten.;N;Kein Treffer, aber nur 1 Seite(n) abrufbar. Nicht belegbar.;N;Kein Treffer, aber nur 1 Seite(n) abrufbar. Nicht belegbar.
Alraun Maschinenbau GmbH;https://www.alraun.eu/;C;64;Bedingter Fit;kein Ausschlusskriterium;4 von 12 Kriterien mit A, 2 mit D, 2 ohne Datenbasis. Kernprodukt laut Recherche: Siebdruckmaschinen und industrielle Trocknungssysteme. Auf der Website 86 Fundstellen zu Kernbegriffen: Siebdruck (51), Druckmaschine (35).;Mittel, nur Website, 73 Prozent der Kriterien belegt;89195 Staig-Steinberg;Deutschland;Siebdruckmaschinen und industrielle Trocknungssysteme;k. A.;k. A.;;Websuche Siebdruckmaschinen Hersteller;"Website: Wir sind Hersteller, kein Haendler; Alraun entwickelt und fertigt Flach- und Rundsiebdruckmaschinen sowie Trocknungssysteme selbst.";nicht auf der Website verlinkt;A;Kernprodukt laut Recherche: Siebdruckmaschinen und industrielle Trocknungssysteme. Auf der Website 86 Fundstellen zu Kernbegriffen: Siebdruck (51), Druckmaschine (35).;B;Sitz 89195 Staig-Steinberg, Deutschland, im Land der Zielregion (Heidelberg), aber nicht in der Region selbst.;N;Keine belegte Mitarbeiterzahl (weder Recherche noch Website).;N;Kein Umsatz veröffentlicht und keine Mitarbeiterzahl zum Ableiten.;A;2 Begriffe mit 11 Fundstellen auf 6 Seiten: präzise (8), Präzision (3).;C;Schwacher Beleg, nur Register (4) auf 6 Seiten.;C;Keiner der Begriffe auf 6 gecrawlten Seiten gefunden. Bauteil- oder Fachvokabular steht selten auf Firmenwebsites, daher kein Abzug bis D.;A;2 Begriffe mit 19 Fundstellen auf 6 Seiten: Ersatzteil (16), Wartung (3).;C;Schwacher Beleg, nur Durchsatz (1) auf 6 Seiten.;A;4 Begriffe mit 12 Fundstellen auf 6 Seiten: Innovation (4), Entwicklung (3), Konstruktion (3), neue Generation (2).;D;Keiner der Begriffe auf 6 gecrawlten Seiten gefunden.;D;Keiner der Begriffe auf 6 gecrawlten Seiten gefunden.
manroland Goss web systems GmbH;https://www.manrolandgoss.com/de/;C;64;Bedingter Fit;kein Ausschlusskriterium;3 von 12 Kriterien mit A, 1 mit D, 4 ohne Datenbasis. Kernprodukt laut Recherche: Rollenoffsetdruckmaschinen fuer Zeitungs-, Illustrations- und Verpackungsdruck. Auf der Website 8 Fundstellen zu Kernbegriffen: Rollenoffset (4), Offsetdruck (2), Verpackungsdruck (2).;Hoch, recherchiert, 76 Prozent der Kriterien belegt;86153 Augsburg;Deutschland;Rollenoffsetdruckmaschinen fuer Zeitungs-, Illustrations- und Verpackungsdruck;1.000 (Recherche);293 (Recherche);Possehl-Gruppe (51 %), American Industrial Partners (49 %);"Wikipedia Kategorie Druckmaschinenhersteller; Startliste";Wikipedia: stellt Rollenoffsetdruckmaschinen her und bietet Loesungen fuer Zeitungs-, Publikations- und Verpackungsdruck.;https://www.linkedin.com/company/manrolandgoss;A;Kernprodukt laut Recherche: Rollenoffsetdruckmaschinen fuer Zeitungs-, Illustrations- und Verpackungsdruck. Auf der Website 8 Fundstellen zu Kernbegriffen: Rollenoffset (4), Offsetdruck (2), Verpackungsdruck (2).;B;Sitz 86153 Augsburg, Deutschland, im Land der Zielregion (Heidelberg), aber nicht in der Region selbst.;B;1.000 Mitarbeiter (Recherche, Gesellschaft: https://de.wikipedia.org/wiki/Manroland_Goss_Web_Systems (Stand 2018)), knapp unter dem ICP-Band 1.001 bis 10.000.;D;293 Mio. EUR (Recherche: https://de.wikipedia.org/wiki/Manroland_Goss_Web_Systems (GJ 2018)), deutlich unter dem ICP-Band rund 2 Mrd. EUR.;N;Kein Treffer, aber nur 1 Seite(n) abrufbar. Nicht belegbar.;N;Kein Treffer, aber nur 1 Seite(n) abrufbar. Nicht belegbar.;C;Schwacher Beleg, nur Servomotor (1) auf 1 Seiten.;A;3 Begriffe mit 3 Fundstellen auf 1 Seiten: Wartung (1), Retrofit (1), maintenance (1).;N;Kein Treffer, aber nur 1 Seite(n) abrufbar. Nicht belegbar.;C;Schwacher Beleg, nur Entwicklung (1) auf 1 Seiten.;A;2 Begriffe mit 2 Fundstellen auf 1 Seiten: Lieferant (1), Zulieferer (1).;N;Kein Treffer, aber nur 1 Seite(n) abrufbar. Nicht belegbar.
Müller Martini AG;https://mullermartini.com/;C;64;Bedingter Fit;kein Ausschlusskriterium;5 von 12 Kriterien mit A, 2 mit D. Randbereich der Zielbranche laut Recherche: Druckweiterverarbeitung: Sammelhefter, Klebebinder, Hardcover-Systeme. Auf der Website 18 Fundstellen zu Kernbegriffen: Digitaldruck (18).;Hoch, recherchiert und Website geprüft, 100 Prozent der Kriterien belegt;4800 Zofingen;Schweiz;Druckweiterverarbeitung: Sammelhefter, Klebebinder, Hardcover-Systeme;1.300 (Recherche);260 (abgeleitet);Müller Martini Holding AG, Hergiswil;"Wikipedia Kategorie Druckmaschinenhersteller; Startliste";Website: Die Mueller Martini-Gruppe entwickelt, baut und installiert Maschinen und Systemloesungen fuer die Druckindustrie, sowohl im Offset- als auch im Digitaldruck (Postpress).;https://ch.linkedin.com/company/muller-martini-group;B;Randbereich der Zielbranche laut Recherche: Druckweiterverarbeitung: Sammelhefter, Klebebinder, Hardcover-Systeme. Auf der Website 18 Fundstellen zu Kernbegriffen: Digitaldruck (18).;C;Sitz 4800 Zofingen, Schweiz, im deutschsprachigen Raum, Zielregion ist Heidelberg.;A;1.300 Mitarbeiter (Recherche, Gruppe: https://www.mullermartini.com/unternehmen (2026: Mit ueber 1.300 Mitarbeitenden weltweit)), im ICP-Band 1.001 bis 10.000.;D;260 Mio. EUR (aus 1.300 Mitarbeitern abgeleitet (0,2 Mio. EUR je Kopf, Maschinenbau)), deutlich unter dem ICP-Band rund 2 Mrd. EUR.;A;3 Begriffe mit 10 Fundstellen auf 10 Seiten: präzise (4), Präzision (3), Genauigkeit (3).;B;2 Begriffe mit 4 Fundstellen: printing unit (3), Bogen (1).;C;Keiner der Begriffe auf 10 gecrawlten Seiten gefunden. Bauteil- oder Fachvokabular steht selten auf Firmenwebsites, daher kein Abzug bis D.;B;2 Begriffe mit 8 Fundstellen: Ersatzteil (4), Verfügbarkeit (4).;D;Keiner der Begriffe auf 10 gecrawlten Seiten gefunden.;A;5 Begriffe mit 38 Fundstellen auf 10 Seiten: Innovation (31), Entwicklung (4), Konstruktion (1), Konstrukteur (1).;A;6 Begriffe mit 119 Fundstellen auf 10 Seiten: Lieferant (80), Verhaltenskodex (13), Einkauf (12), Lieferantenmanagement (6).;A;3 Begriffe mit 6 Fundstellen auf 10 Seiten: Prüfprotokoll (2), Zertifizierung (2), Dokumentation (2).
Mall + Herlan GmbH;https://mall-herlan.com/;C;63;Bedingter Fit;kein Ausschlusskriterium;3 von 12 Kriterien mit A, 1 mit D, 2 ohne Datenbasis. Randbereich der Zielbranche laut Recherche: Produktionslinien fuer Aluminiumdosen und Tuben inklusive Dekoration.;Mittel, nur Website, 73 Prozent der Kriterien belegt;76327 Pfinztal;Deutschland;Produktionslinien fuer Aluminiumdosen und Tuben inklusive Dekoration;k. A.;k. A.;Wifag-Polytype Holding AG;"packaging journal Direktdruck Hohlkoerper; WIFAG-Polytype Gruppenseite";"Website: mall//herlan is one of the world's leading producers of machines and complete production lines fuer Aluminium-Aerosoldosen, Flaschen und Tuben; Impressum Woeschbacher Strasse 33, 76327 Pfinztal.";https://www.linkedin.com/company/mall-herlan-gmbh;B;Randbereich der Zielbranche laut Recherche: Produktionslinien fuer Aluminiumdosen und Tuben inklusive Dekoration.;B;Sitz 76327 Pfinztal, Deutschland, im Land der Zielregion (Heidelberg), aber nicht in der Region selbst.;N;Keine belegte Mitarbeiterzahl (weder Recherche noch Website).;N;Kein Umsatz veröffentlicht und keine Mitarbeiterzahl zum Ableiten.;C;Schwacher Beleg, nur precision (1) auf 8 Seiten.;B;2 Begriffe mit 3 Fundstellen: Register (2), printing unit (1).;C;Keiner der Begriffe auf 8 gecrawlten Seiten gefunden. Bauteil- oder Fachvokabular steht selten auf Firmenwebsites, daher kein Abzug bis D.;A;5 Begriffe mit 10 Fundstellen auf 8 Seiten: spare part (6), Ersatzteil (1), Retrofit (1), maintenance (1).;D;Keiner der Begriffe auf 8 gecrawlten Seiten gefunden.;A;3 Begriffe mit 5 Fundstellen auf 8 Seiten: engineering (3), Innovation (1), Patent (1).;B;1 Begriffe mit 6 Fundstellen: Supplier (6).;A;2 Begriffe mit 4 Fundstellen auf 8 Seiten: Qualitätssicherung (2), Qualitätsmanagement (2).
technotrans SE;https://www.technotrans.de/home;C;63;Bedingter Fit;kein Ausschlusskriterium;4 von 12 Kriterien mit A, 2 mit D. Randbereich der Zielbranche laut Recherche: Fluessigkeiten-Management und Temperierung als Peripherie fuer Druckmaschinen. Auf der Website 4 Fundstellen zu Kernbegriffen: Druckmaschine (2), Digitaldruck (2).;Hoch, recherchiert und Website geprüft, 100 Prozent der Kriterien belegt;48336 Sassenberg;Deutschland;Fluessigkeiten-Management und Temperierung als Peripherie fuer Druckmaschinen;1.443 (Recherche);244 (Recherche);Streubesitz (boersennotiert);Startliste;Wikipedia: anwendungsspezifische Loesungen im Thermomanagement, historisch aus der Druckindustrie (Feuchtmittel-, Farb- und Temperiertechnik) gewachsen.;https://de.linkedin.com/company/technotrans-se;B;Randbereich der Zielbranche laut Recherche: Fluessigkeiten-Management und Temperierung als Peripherie fuer Druckmaschinen. Auf der Website 4 Fundstellen zu Kernbegriffen: Druckmaschine (2), Digitaldruck (2).;B;Sitz 48336 Sassenberg, Deutschland, im Land der Zielregion (Heidelberg), aber nicht in der Region selbst.;A;1.443 Mitarbeiter (Recherche, Gruppe: https://de.wikipedia.org/wiki/Technotrans (Stand 31.12.2025)), im ICP-Band 1.001 bis 10.000.;D;244 Mio. EUR (Recherche: https://de.wikipedia.org/wiki/Technotrans (GJ 2025)), deutlich unter dem ICP-Band rund 2 Mrd. EUR.;A;3 Begriffe mit 9 Fundstellen auf 10 Seiten: Präzision (4), präzise (4), Genauigkeit (1).;B;2 Begriffe mit 2 Fundstellen: Farbwerk (1), Register (1).;C;Schwacher Beleg, nur Antriebstechnik (1) auf 10 Seiten.;A;3 Begriffe mit 15 Fundstellen auf 10 Seiten: Ersatzteil (11), Verfügbarkeit (3), Lebensdauer (1).;B;2 Begriffe mit 3 Fundstellen: Großserie (2), Leistungsklasse (1).;C;Schwacher Beleg, nur Innovation (4) auf 10 Seiten.;D;Keiner der Begriffe auf 10 gecrawlten Seiten gefunden.;A;1 Begriffe mit 24 Fundstellen auf 10 Seiten: Dokumentation (24).
