Firma;Website;Gesamtbewertung;Punkte;Einstufung;Ausschlussgrund;Kurzbegründung;Datenqualität;Ort;Land;Produktkategorien;Mitarbeiter;Umsatz (Mio. EUR);Konzernmutter;Quelle;Beleg;LinkedIn Firmenprofil URL;F1 Branche;F1 Begründung;F2 Region;F2 Begründung;F3 Mitarbeiterzahl;F3 Begründung;F4 Jahresumsatz;F4 Begründung;B1 Präzisionsanspruch bei Kernbauteilen;B1 Begründung;B2 Eigene Fertigung von Kernbauteilen;B2 Begründung;B3 Elektrische Antriebe und Kugelgewindetriebe in den Maschinen;B3 Begründung;B4 Produktivität, Rüst- und Nebenzeiten;B4 Begründung;B5 Energieeffizienz;B5 Begründung;B6 Qualität und Ausschussreduktion;B6 Begründung;B7 Strukturierter Einkauf und Lieferantenmanagement;B7 Begründung;B8 Entwicklung und Konstruktion im Haus;B8 Begründung
MAPLAN GmbH;https://www.maplan.at/;B;73;Guter Fit;kein Ausschlusskriterium;6 von 12 Kriterien mit A, 0 mit D, 2 ohne Datenbasis. Kernprodukt laut Recherche: Elastomer-Spritzgießmaschinen für Gummi und Silikon. Auf der Website 80 Fundstellen zu Kernbegriffen: Spritzeinheit (35), Spritzgiessmaschine (33), Spritzgießmaschine (5), Elastomer (4).;Mittel, nur Website, 74 Prozent der Kriterien belegt;2542 Kottingbrunn;Österreich;Elastomer-Spritzgießmaschinen für Gummi und Silikon;k. A.;k. A.;Soulier Group (Österreich);VDMA Mitgliederliste, KunststoffWeb, technik-einkauf, Startliste;Maplan bezeichnet sich als führender Hersteller von Elastomer-Spritzgießmaschinen und Experte für 360-Grad-Systemlösungen für die Produktion von Gummi- und Silikonprodukten (https://www.maplan.at/de/unternehmen/).;https://www.linkedin.com/company/maplan;A;Kernprodukt laut Recherche: Elastomer-Spritzgießmaschinen für Gummi und Silikon. Auf der Website 80 Fundstellen zu Kernbegriffen: Spritzeinheit (35), Spritzgiessmaschine (33), Spritzgießmaschine (5), Elastomer (4).;A;Sitz 2542 Kottingbrunn, Österreich, im Zielland Österreich.;N;Keine belegte Mitarbeiterzahl (weder Recherche noch Website).;N;Kein Umsatz veröffentlicht und keine Mitarbeiterzahl zum Ableiten.;C;Schwacher Beleg, nur Wiederholgenauigkeit (1) auf 10 Seiten.;C;Schwacher Beleg, nur Produktionsstandort (1) auf 10 Seiten.;C;Schwacher Beleg, nur Servoantrieb (1) auf 10 Seiten.;C;Schwacher Beleg, nur Produktivität (2) auf 10 Seiten.;A;5 Begriffe mit 7 Fundstellen auf 10 Seiten: Energieeffizien (2), Nachhaltigkeit (2), energieeffizient (1), Energieverbrauch (1).;A;3 Begriffe mit 5 Fundstellen auf 10 Seiten: Ausschuss (3), Teilequalität (1), prozesssicher (1).;A;2 Begriffe mit 129 Fundstellen auf 10 Seiten: Einkauf (80), Lieferant (49).;A;3 Begriffe mit 5 Fundstellen auf 10 Seiten: Innovation (3), Entwicklung (1), Technikum (1).
Meusburger Georg GmbH & Co KG;https://www.meusburger.com/de-de;B;71;Guter Fit;kein Ausschlusskriterium;7 von 12 Kriterien mit A, 1 mit D. Randbereich der Zielbranche laut Recherche: Normalien für Formaufbauten und Stanzwerkzeuge, Heißkanaltechnik. Auf der Website 49 Fundstellen zu Kernbegriffen: Elastomer (36), Spritzguss (11), Spritzgießen (2).;Hoch, recherchiert und Website geprüft, 100 Prozent der Kriterien belegt;6960 Wolfurt;Österreich;Normalien für Formaufbauten und Stanzwerkzeuge, Heißkanaltechnik;1.200 (Recherche);273 (Recherche);Familienbesitz (Meusburger Holding GmbH und GBCM Holding GmbH);Startliste;Die Website bezeichnet Meusburger als Marktführer für hochpräzise Normalien mit den Produktbereichen Formaufbauten, Platten, Einbauteile, Heißkanaltechnik und Werkstattbedarf, https://www.meusburger.com/de-de/;https://www.linkedin.com/company/meusburger-georg-gmbh-&amp;B;Randbereich der Zielbranche laut Recherche: Normalien für Formaufbauten und Stanzwerkzeuge, Heißkanaltechnik. Auf der Website 49 Fundstellen zu Kernbegriffen: Elastomer (36), Spritzguss (11), Spritzgießen (2).;A;Sitz 6960 Wolfurt, Österreich, im Zielland Österreich.;A;1.200 Mitarbeiter (Recherche, Gruppe: https://de.wikipedia.org/wiki/Meusburger_Georg (Stand 2025)), im ICP-Band 1.001 bis 10.000.;D;273 Mio. EUR (Recherche: https://de.wikipedia.org/wiki/Meusburger_Georg (Geschäftsjahr 2025)), deutlich unter dem ICP-Band rund 1,6 Mrd. EUR.;A;2 Begriffe mit 31 Fundstellen auf 9 Seiten: präzise (19), Präzision (12).;A;3 Begriffe mit 29 Fundstellen auf 9 Seiten: Schleifen (27), Zerspanung (1), Fräsen (1).;C;Keiner der Begriffe auf 9 gecrawlten Seiten gefunden. Bauteil- oder Fachvokabular steht selten auf Firmenwebsites, daher kein Abzug bis D.;C;Schwacher Beleg, nur Produktivität (1) auf 9 Seiten.;C;Schwacher Beleg, nur Nachhaltigkeit (1) auf 9 Seiten.;A;2 Begriffe mit 5 Fundstellen auf 9 Seiten: Prozessstabilität (4), Qualitätsmanagement (1).;A;4 Begriffe mit 36 Fundstellen auf 9 Seiten: Einkauf (17), Lieferant (13), Einkaufsbedingungen (3), Supply Chain (3).;A;3 Begriffe mit 110 Fundstellen auf 9 Seiten: Konstruktion (104), Innovation (4), Entwicklung (2).
Sumitomo (SHI) Demag Plastics Machinery GmbH;https://www.sumitomo-shi-demag.eu/;C;68;Bedingter Fit;kein Ausschlusskriterium;5 von 12 Kriterien mit A, 2 mit D. Kernprodukt laut Recherche: Vollelektrische und hybride Spritzgießmaschinen (IntElect, El-Exis, Systec). Auf der Website 47 Fundstellen zu Kernbegriffen: injection moulding (32), injection moulding machine (10), LSR (4), clamping force (1).;Hoch, recherchiert und Website geprüft, 100 Prozent der Kriterien belegt;90571 Schwaig;Deutschland;Vollelektrische und hybride Spritzgießmaschinen (IntElect, El-Exis, Systec);878 (Recherche);240 (Recherche);Sumitomo Heavy Industries, Ltd. (Japan);VDMA-Mitgliederliste, KunststoffWeb, Startliste;Wikipedia bezeichnet die Firma als weltweit führenden Hersteller von Spritzgießmaschinen zur Verarbeitung von Kunststoffen mit Schließkräften von 500 bis 15000 kN (https://de.wikipedia.org/wiki/Sumitomo_(SHI)_Demag).;https://www.linkedin.com/company/5097327;A;Kernprodukt laut Recherche: Vollelektrische und hybride Spritzgießmaschinen (IntElect, El-Exis, Systec). Auf der Website 47 Fundstellen zu Kernbegriffen: injection moulding (32), injection moulding machine (10), LSR (4), clamping force (1).;B;Sitz 90571 Schwaig, Deutschland, Nachbarland im deutschsprachigen Raum, Zielland ist Österreich.;B;878 Mitarbeiter (Recherche, Gesellschaft: https://de.wikipedia.org/wiki/Sumitomo_(SHI)_Demag (Stand 2022)), knapp unter dem ICP-Band 1.001 bis 10.000.;D;240 Mio. EUR (Recherche: https://de.wikipedia.org/wiki/Sumitomo_(SHI)_Demag (Geschäftsjahr 2022)), deutlich unter dem ICP-Band rund 1,6 Mrd. EUR.;B;1 Begriffe mit 9 Fundstellen: precision (9).;D;Keiner der Begriffe auf 9 gecrawlten Seiten gefunden.;A;3 Begriffe mit 31 Fundstellen auf 9 Seiten: all-electric (21), electric injection (7), hybrid (3).;C;Schwacher Beleg, nur cycle time (1) auf 9 Seiten.;A;3 Begriffe mit 11 Fundstellen auf 9 Seiten: energy consumption (7), energy efficien (2), energy saving (2).;B;1 Begriffe mit 1 Fundstellen: ISO 9001 (1).;A;4 Begriffe mit 33 Fundstellen auf 9 Seiten: Purchasing (15), Supplier (12), Procurement (4), Code of Conduct (2).;A;2 Begriffe mit 13 Fundstellen auf 9 Seiten: Innovation (10), engineering (3).
WITTMANN BATTENFELD Deutschland GmbH;https://www.wittmann-group.com/de_de;C;67;Bedingter Fit;kein Ausschlusskriterium;7 von 12 Kriterien mit A, 2 mit D. Kernprodukt laut Recherche: Spritzgießmaschinen, Vertrieb und Service Deutschland. Auf der Website 55 Fundstellen zu Kernbegriffen: Spritzgießmaschine (18), Spritzgießtechnik (18), Silikon (9), Spritzguss (8).;Hoch, recherchiert und Website geprüft, 100 Prozent der Kriterien belegt;90475 Nürnberg;Deutschland;Spritzgießmaschinen, Vertrieb und Service Deutschland;136 (Recherche);27 (abgeleitet);Wittmann Technology GmbH, Wien (Österreich);VDMA Mitgliederliste, wer-zu-wem;Der Firmeneintrag weist die Wittmann Battenfeld Deutschland GmbH, Am Tower 2, 90475 Nürnberg, als Maschinenbauer im Eigentum der Wittmann Gruppe (Österreich) aus (https://www.wer-zu-wem.de/firma/wittmann-group.html).;https://www.linkedin.com/company/wittmannbattenfelddeutschland;A;Kernprodukt laut Recherche: Spritzgießmaschinen, Vertrieb und Service Deutschland. Auf der Website 55 Fundstellen zu Kernbegriffen: Spritzgießmaschine (18), Spritzgießtechnik (18), Silikon (9), Spritzguss (8).;B;Sitz 90475 Nürnberg, Deutschland, Nachbarland im deutschsprachigen Raum, Zielland ist Österreich.;D;136 Mitarbeiter (Recherche, Gesellschaft: https://www.wer-zu-wem.de/firma/wittmann-group.html (Abruf 2026, Angabe: 136 Mitarbeiter in Deutschland)), deutlich unter dem ICP-Band 1.001 bis 10.000.;D;27 Mio. EUR (aus 136 Mitarbeitern abgeleitet (0,2 Mio. EUR je Kopf, Maschinenbau)), deutlich unter dem ICP-Band rund 1,6 Mrd. EUR.;A;3 Begriffe mit 6 Fundstellen auf 9 Seiten: Präzision (4), Reproduzierbarkeit (1), precision (1).;B;2 Begriffe mit 4 Fundstellen: Produktionswerk (3), Produktionsstandort (1).;B;2 Begriffe mit 2 Fundstellen: vollelektrisch (1), hybrid (1).;A;3 Begriffe mit 4 Fundstellen auf 9 Seiten: Produktivität (2), Zykluszeit (1), Maschinenverfügbarkeit (1).;A;5 Begriffe mit 36 Fundstellen auf 9 Seiten: Nachhaltigkeit (13), Energieeffizien (12), energieeffizient (8), Energieverbrauch (2).;A;3 Begriffe mit 12 Fundstellen auf 9 Seiten: zertifiziert (10), Teilequalität (1), Reproduzierbarkeit (1).;A;4 Begriffe mit 6 Fundstellen auf 9 Seiten: Einkauf (2), Supplier (2), Beschaffung (1), Einkaufsbedingungen (1).;A;5 Begriffe mit 39 Fundstellen auf 9 Seiten: Innovation (32), Entwicklung (3), Konstrukteur (2), Forschung und Entwicklung (1).
PlastiVation Machinery GmbH;https://de.tedericglobal.com/;C;64;Bedingter Fit;kein Ausschlusskriterium;4 von 12 Kriterien mit A, 3 mit D, 2 ohne Datenbasis. Kernprodukt laut Recherche: Spritzgießmaschinen Tederic, Vertrieb und Anwendungszentrum. Auf der Website 41 Fundstellen zu Kernbegriffen: Spritzgießmaschine (22), Spritzguss (15), Spritzgießen (3), Schließkraft (1).;Mittel, nur Website, 74 Prozent der Kriterien belegt;80935 München;Deutschland;Spritzgießmaschinen Tederic, Vertrieb und Anwendungszentrum;k. A.;k. A.;Tederic Machinery Co., Ltd. (China);Fakuma Ausstellerliste, K-Zeitung, plasticker;Die Website der PlastiVation Machinery GmbH führt das komplette Tederic-Programm (NEO T, NEO HII, NEO EII, NEO M, INNOVA) als eigenes Produktangebot (https://www.plastivation.com/).;https://www.linkedin.com/company/tederic;A;Kernprodukt laut Recherche: Spritzgießmaschinen Tederic, Vertrieb und Anwendungszentrum. Auf der Website 41 Fundstellen zu Kernbegriffen: Spritzgießmaschine (22), Spritzguss (15), Spritzgießen (3), Schließkraft (1).;B;Sitz 80935 München, Deutschland, Nachbarland im deutschsprachigen Raum, Zielland ist Österreich.;N;Keine belegte Mitarbeiterzahl (weder Recherche noch Website).;N;Kein Umsatz veröffentlicht und keine Mitarbeiterzahl zum Ableiten.;C;Schwacher Beleg, nur präzise (1) auf 7 Seiten.;B;2 Begriffe mit 2 Fundstellen: Fertigungskapazität (1), Montage (1).;A;4 Begriffe mit 42 Fundstellen auf 7 Seiten: Kniehebel (23), hybrid (14), toggle (3), elektrische Spritzgieß (2).;D;Keiner der Begriffe auf 7 gecrawlten Seiten gefunden.;A;2 Begriffe mit 15 Fundstellen auf 7 Seiten: Nachhaltigkeit (14), Energieverbrauch (1).;D;Keiner der Begriffe auf 7 gecrawlten Seiten gefunden.;D;Keiner der Begriffe auf 7 gecrawlten Seiten gefunden.;A;3 Begriffe mit 10 Fundstellen auf 7 Seiten: Entwicklung (4), Innovation (4), F&E (2).
Bole Intelligent GmbH;https://www.bole-machinery.com/;C;63;Bedingter Fit;kein Ausschlusskriterium;1 von 12 Kriterien mit A, 0 mit D, 10 ohne Datenbasis. Kernprodukt laut Recherche: Spritzgießmaschinen servohydraulisch und elektrisch, 50 bis 6.800 t.;Niedrig, nur wenige Seiten, 23 Prozent der Kriterien belegt;06217 Merseburg;Deutschland;Spritzgießmaschinen servohydraulisch und elektrisch, 50 bis 6.800 t;k. A.;k. A.;Bole Intelligent Machinery Co., Ltd. (Ningbo, China);plasticker Meldung 2024, Websuche;Die deutsche Bole-Website führt das Maschinenprogramm des chinesischen Herstellers: servohydraulische und elektrische Kniehebel- sowie Zweiplattenmaschinen mit Schließkräften von 50 bis 6.800 Tonnen (https://www.bole-machinery.com/de/).;nicht auf der Website verlinkt;A;Kernprodukt laut Recherche: Spritzgießmaschinen servohydraulisch und elektrisch, 50 bis 6.800 t.;B;Sitz 06217 Merseburg, Deutschland, Nachbarland im deutschsprachigen Raum, Zielland ist Österreich.;N;Keine belegte Mitarbeiterzahl (weder Recherche noch Website).;N;Kein Umsatz veröffentlicht und keine Mitarbeiterzahl zum Ableiten.;N;Kein Treffer, aber nur 1 Seite(n) abrufbar. Nicht belegbar.;N;Kein Treffer, aber nur 1 Seite(n) abrufbar. Nicht belegbar.;N;Kein Treffer, aber nur 1 Seite(n) abrufbar. Nicht belegbar.;N;Kein Treffer, aber nur 1 Seite(n) abrufbar. Nicht belegbar.;N;Kein Treffer, aber nur 1 Seite(n) abrufbar. Nicht belegbar.;N;Kein Treffer, aber nur 1 Seite(n) abrufbar. Nicht belegbar.;N;Kein Treffer, aber nur 1 Seite(n) abrufbar. Nicht belegbar.;N;Kein Treffer, aber nur 1 Seite(n) abrufbar. Nicht belegbar.
Netstal Maschinen AG;https://www.netstal.com/;C;63;Bedingter Fit;kein Ausschlusskriterium;6 von 12 Kriterien mit A, 3 mit D. Kernprodukt laut Recherche: Schnelllaufende Spritzgießmaschinen, PET-Preforms, Verschlüsse. Auf der Website 8 Fundstellen zu Kernbegriffen: Spritzgiessmaschine (7), Schliesseinheit (1).;Hoch, recherchiert und Website geprüft, 100 Prozent der Kriterien belegt;8752 Näfels;Schweiz;Schnelllaufende Spritzgießmaschinen, PET-Preforms, Verschlüsse;560 (Recherche);112 (abgeleitet);Krones AG (Deutschland);Fakuma 2026 Ausstellerliste, KunststoffWeb, Startliste;Netstal entwickelt und produziert Spritzgiessmaschinen und Systemlösungen für Verpackung, Medizintechnik und Getränkeindustrie (https://de.wikipedia.org/wiki/Netstal_Maschinen, https://www.netstal.com/).;https://it.linkedin.com/company/netstal;A;Kernprodukt laut Recherche: Schnelllaufende Spritzgießmaschinen, PET-Preforms, Verschlüsse. Auf der Website 8 Fundstellen zu Kernbegriffen: Spritzgiessmaschine (7), Schliesseinheit (1).;B;Sitz 8752 Näfels, Schweiz, Nachbarland im deutschsprachigen Raum, Zielland ist Österreich.;C;560 Mitarbeiter (Recherche, Gesellschaft: https://de.wikipedia.org/wiki/Netstal_Maschinen (Infobox, Stand 2023, Quelle Krones AG)), unter dem ICP-Band 1.001 bis 10.000.;D;112 Mio. EUR (aus 560 Mitarbeitern abgeleitet (0,2 Mio. EUR je Kopf, Maschinenbau)), deutlich unter dem ICP-Band rund 1,6 Mrd. EUR.;A;4 Begriffe mit 10 Fundstellen auf 8 Seiten: Präzision (5), präzise (2), Wiederholgenauigkeit (2), Toleranz (1).;D;Keiner der Begriffe auf 8 gecrawlten Seiten gefunden.;A;3 Begriffe mit 5 Fundstellen auf 8 Seiten: vollelektrisch (2), hybrid (2), Antriebstechnik (1).;A;4 Begriffe mit 6 Fundstellen auf 8 Seiten: Zykluszeit (2), Gesamtanlageneffektivität (2), Produktivität (1), Trockenlaufzeit (1).;A;5 Begriffe mit 15 Fundstellen auf 8 Seiten: Nachhaltigkeit (8), Energieverbrauch (3), Energieeffizien (2), energieeffizient (1).;A;2 Begriffe mit 2 Fundstellen auf 8 Seiten: Ausschuss (1), ISO 9001 (1).;D;Keiner der Begriffe auf 8 gecrawlten Seiten gefunden.;B;2 Begriffe mit 5 Fundstellen: Innovation (4), Konstruktion (1).
FANUC Deutschland GmbH;https://www.fanuc.eu/de-de;C;61;Bedingter Fit;kein Ausschlusskriterium;7 von 12 Kriterien mit A, 4 mit D. Kernprodukt laut Recherche: Vollelektrische Spritzgießmaschinen Roboshot, Roboter, CNC. Auf der Website 30 Fundstellen zu Kernbegriffen: Spritzgussmaschine (20), Spritzguss (9), Spritzgießen (1).;Hoch, recherchiert und Website geprüft, 100 Prozent der Kriterien belegt;73765 Neuhausen auf den Fildern;Deutschland;Vollelektrische Spritzgießmaschinen Roboshot, Roboter, CNC;350 (Recherche);70 (abgeleitet);FANUC Corporation (Japan);technik-einkauf Marktübersicht, induux, Startliste;Fanuc Deutschland führt die vollelektrischen Spritzgießmaschinen der Baureihe Roboshot im deutschen Produktprogramm (https://www.fanuc.eu/de/de/spritzgiessmaschinen).;https://www.linkedin.com/company/fanuc-europe;A;Kernprodukt laut Recherche: Vollelektrische Spritzgießmaschinen Roboshot, Roboter, CNC. Auf der Website 30 Fundstellen zu Kernbegriffen: Spritzgussmaschine (20), Spritzguss (9), Spritzgießen (1).;B;Sitz 73765 Neuhausen auf den Fildern, Deutschland, Nachbarland im deutschsprachigen Raum, Zielland ist Österreich.;D;350 Mitarbeiter (Recherche, Gesellschaft: https://www.wer-zu-wem.de/firma/fanuc-automation.html (Abruf 2026, Angabe: 350 Mitarbeiter in Deutschland)), deutlich unter dem ICP-Band 1.001 bis 10.000.;D;70 Mio. EUR (aus 350 Mitarbeitern abgeleitet (0,2 Mio. EUR je Kopf, Maschinenbau)), deutlich unter dem ICP-Band rund 1,6 Mrd. EUR.;A;4 Begriffe mit 23 Fundstellen auf 8 Seiten: Präzision (15), präzise (5), Genauigkeit (2), Toleranz (1).;A;7 Begriffe mit 199 Fundstellen auf 8 Seiten: CNC (133), Bearbeitungszentr (22), Fräsen (13), Drehen (12).;A;4 Begriffe mit 9 Fundstellen auf 8 Seiten: Spindel (5), Servomotor (2), vollelektrisch (1), elektrische Spritzgieß (1).;A;5 Begriffe mit 13 Fundstellen auf 8 Seiten: Zykluszeit (5), Produktivität (4), Maschinenverfügbarkeit (2), OEE (1).;A;3 Begriffe mit 51 Fundstellen auf 8 Seiten: Nachhaltigkeit (49), Energieverbrauch (1), energiesparend (1).;D;Keiner der Begriffe auf 8 gecrawlten Seiten gefunden.;D;Keiner der Begriffe auf 8 gecrawlten Seiten gefunden.;A;4 Begriffe mit 11 Fundstellen auf 8 Seiten: Entwicklung (6), Forschung und Entwicklung (2), Innovation (2), Konstruktion (1).
ENGEL (Schweiz) AG;https://www.engelglobal.com/;C;60;Bedingter Fit;kein Ausschlusskriterium;2 von 12 Kriterien mit A, 1 mit D, 2 ohne Datenbasis. Kernprodukt laut Recherche: Spritzgießmaschinen, Vertrieb, Service, Tech Centre. Auf der Website 39 Fundstellen zu Kernbegriffen: Schließkraft (15), Spritzeinheit (9), clamping force (5), Spritzgießmaschine (4).;Mittel, nur Website, 74 Prozent der Kriterien belegt;8500 Frauenfeld;Schweiz;Spritzgießmaschinen, Vertrieb, Service, Tech Centre;k. A.;k. A.;ENGEL Holding GmbH (Österreich);Websuche, ENGEL Standortliste;ENGEL betreibt in Frauenfeld ein eigenes Tech Centre und feierte dort 50 Jahre Geschäftstätigkeit in der Schweiz (https://www.engelglobal.com/en/us/company/media-center/news-press/engel-opens-new-tech-centre-in-frauenfeld).;https://de.linkedin.com/company/engel-global;A;Kernprodukt laut Recherche: Spritzgießmaschinen, Vertrieb, Service, Tech Centre. Auf der Website 39 Fundstellen zu Kernbegriffen: Schließkraft (15), Spritzeinheit (9), clamping force (5), Spritzgießmaschine (4).;B;Sitz 8500 Frauenfeld, Schweiz, Nachbarland im deutschsprachigen Raum, Zielland ist Österreich.;N;Keine belegte Mitarbeiterzahl (weder Recherche noch Website).;N;Kein Umsatz veröffentlicht und keine Mitarbeiterzahl zum Ableiten.;C;Schwacher Beleg, nur präzise (2) auf 4 Seiten.;C;Schwacher Beleg, nur Montage (2) auf 4 Seiten.;C;Schwacher Beleg, nur hybrid (2) auf 4 Seiten.;D;Keiner der Begriffe auf 4 gecrawlten Seiten gefunden.;B;1 Begriffe mit 7 Fundstellen: Nachhaltigkeit (7).;B;1 Begriffe mit 3 Fundstellen: Qualitätsmanagement (3).;A;4 Begriffe mit 17 Fundstellen auf 4 Seiten: Lieferant (8), Einkauf (3), Lieferantenportal (3), Purchasing (3).;B;2 Begriffe mit 6 Fundstellen: Innovation (4), Konstruktion (2).
Haitian International Germany GmbH;https://eu.haitianinter.com/;C;60;Bedingter Fit;kein Ausschlusskriterium;4 von 12 Kriterien mit A, 2 mit D. Kernprodukt laut Recherche: Spritzgießmaschinen Haitian und Zhafir, Vertrieb Europa. Auf der Website 55 Fundstellen zu Kernbegriffen: injection moulding (29), injection moulding machine (25), clamping force (1).;Hoch, recherchiert und Website geprüft, 100 Prozent der Kriterien belegt;92263 Ebermannsdorf;Deutschland;Spritzgießmaschinen Haitian und Zhafir, Vertrieb Europa;87 (Recherche);733 (Website);Haitian International Holdings Ltd. (China);VDMA Mitgliederliste, KunststoffWeb, Startliste;Die Website beschreibt den Standort Ebermannsdorf mit Produktionsfläche, Maschinenlager und Anwendungszentrum: Unser Weg der Innovation führte 2015 zur Gründung von Haitian in Ebermannsdorf (https://eu.haitianinter.com/de/ueber-uns/).;https://www.linkedin.com/company/haitian-international-germany;A;Kernprodukt laut Recherche: Spritzgießmaschinen Haitian und Zhafir, Vertrieb Europa. Auf der Website 55 Fundstellen zu Kernbegriffen: injection moulding (29), injection moulding machine (25), clamping force (1).;B;Sitz 92263 Ebermannsdorf, Deutschland, Nachbarland im deutschsprachigen Raum, Zielland ist Österreich.;D;87 Mitarbeiter (Recherche, Gesellschaft: https://www.wer-zu-wem.de/firma/haitiangermany.html (Abruf 2026, Angabe: 87 Mitarbeiter in Deutschland)), deutlich unter dem ICP-Band 1.001 bis 10.000.;C;733 Mio. EUR bei 87 Mitarbeitern ergäbe 8,4 Mio. EUR je Kopf. Der Umsatz gehört erkennbar zu einer größeren Einheit als die Mitarbeiterzahl (Haitian International Holdings Ltd. (China)) und gilt nicht für diese Gesellschaft. Umsatz der Einzelgesellschaft unbelegt.;B;2 Begriffe mit 6 Fundstellen: precision (4), repeatab (2).;C;Schwacher Beleg, nur CNC (2) auf 9 Seiten.;A;2 Begriffe mit 12 Fundstellen auf 9 Seiten: electric injection (10), all-electric (2).;B;2 Begriffe mit 6 Fundstellen: productivity (5), cycle time (1).;A;3 Begriffe mit 7 Fundstellen auf 9 Seiten: energy efficien (3), energy consumption (3), energy saving (1).;D;Keiner der Begriffe auf 9 gecrawlten Seiten gefunden.;A;2 Begriffe mit 2 Fundstellen auf 9 Seiten: Procurement (1), Purchasing (1).;B;2 Begriffe mit 2 Fundstellen: Innovation (1), Patent (1).
ZHAFIR Plastics Machinery GmbH;https://eu.haitianinter.com/;C;60;Bedingter Fit;kein Ausschlusskriterium;4 von 12 Kriterien mit A, 2 mit D. Kernprodukt laut Recherche: Vollelektrische Spritzgießmaschinen Zhafir Venus und Zeres. Auf der Website 55 Fundstellen zu Kernbegriffen: injection moulding (29), injection moulding machine (25), clamping force (1).;Hoch, recherchiert und Website geprüft, 100 Prozent der Kriterien belegt;92263 Ebermannsdorf;Deutschland;Vollelektrische Spritzgießmaschinen Zhafir Venus und Zeres;10 (Recherche);733 (Website);Haitian International Holdings Ltd. (China);KunststoffWeb Produktliste Spritzgießmaschinen, Startliste;Die europäische Haitian-Website führt die vollelektrischen Baureihen Zhafir Venus und Zhafir Zeres als eigenes Produktprogramm (https://eu.haitianinter.com/de/ueber-uns/).;https://www.linkedin.com/company/haitian-international-germany;A;Kernprodukt laut Recherche: Vollelektrische Spritzgießmaschinen Zhafir Venus und Zeres. Auf der Website 55 Fundstellen zu Kernbegriffen: injection moulding (29), injection moulding machine (25), clamping force (1).;B;Sitz 92263 Ebermannsdorf, Deutschland, Nachbarland im deutschsprachigen Raum, Zielland ist Österreich.;D;10 Mitarbeiter (Recherche, Gesellschaft: https://www.wer-zu-wem.de/firma/zhafir.html (Abruf 2026, Angabe: 10 Mitarbeiter in Deutschland)), deutlich unter dem ICP-Band 1.001 bis 10.000.;C;733 Mio. EUR bei 10 Mitarbeitern ergäbe 73 Mio. EUR je Kopf. Der Umsatz gehört erkennbar zu einer größeren Einheit als die Mitarbeiterzahl (Haitian International Holdings Ltd. (China)) und gilt nicht für diese Gesellschaft. Umsatz der Einzelgesellschaft unbelegt.;B;2 Begriffe mit 6 Fundstellen: precision (4), repeatab (2).;C;Schwacher Beleg, nur CNC (2) auf 9 Seiten.;A;2 Begriffe mit 12 Fundstellen auf 9 Seiten: electric injection (10), all-electric (2).;B;2 Begriffe mit 6 Fundstellen: productivity (5), cycle time (1).;A;3 Begriffe mit 7 Fundstellen auf 9 Seiten: energy efficien (3), energy consumption (3), energy saving (1).;D;Keiner der Begriffe auf 9 gecrawlten Seiten gefunden.;A;2 Begriffe mit 2 Fundstellen auf 9 Seiten: Procurement (1), Purchasing (1).;B;2 Begriffe mit 2 Fundstellen: Innovation (1), Patent (1).
